,county,Minimum_Non_Residential_7d_Rolling
0,Accomack County,-24.428571428571427
1,Albemarle County,-44.0
2,Alexandria,-39.95
3,Alleghany County,-28.071428571428577
4,Amelia County,-39.35714285714287
5,Amherst County,-26.714285714285722
6,Appomattox County,-32.28571428571429
7,Arlington County,-59.51428571428572
8,Augusta County,-30.897619047619056
9,Bath County,-68.42857142857143
10,Bedford County,-47.14285714285715
11,Bland County,-29.785714285714295
12,Botetourt County,-37.21428571428572
13,Bristol,-33.333333333333336
14,Brunswick County,-55.42857142857144
15,Buchanan County,-40.80952380952382
16,Buckingham County,-37.00000000000001
17,Buena Vista,-43.14285714285715
18,Campbell County,-29.476190476190485
19,Caroline County,-38.1904761904762
20,Carroll County,-29.928571428571438
21,Charles City County,-40.14285714285715
22,Charlotte County,-35.71428571428572
23,Charlottesville,-51.857142857142875
24,Chesapeake,-37.51428571428573
25,Chesterfield County,-22.514285714285723
26,Clarke County,-46.14285714285715
27,Colonial Heights,-34.66666666666668
28,Covington,-36.57142857142858
29,Craig County,-39.57142857142858
30,Culpeper County,-35.61904761904763
31,Cumberland County,-35.57142857142858
32,Danville,-23.119047619047628
33,Dickenson County,-37.85714285714287
34,Dinwiddie County,-30.714285714285722
35,Emporia,-30.38095238095239
36,Essex County,-33.42857142857144
37,Fairfax,-53.47619047619049
38,Fairfax County,-46.26428571428573
39,Falls Church,-71.85714285714288
40,Fauquier County,-38.23809523809525
41,Floyd County,-38.2857142857143
42,Fluvanna County,-43.14285714285715
43,Franklin,-21.42857142857144
44,Franklin County,-23.761904761904777
45,Frederick County,-27.842857142857156
46,Fredericksburg,-42.21428571428573
47,Galax,-38.000000000000014
48,Giles County,-34.71428571428573
49,Gloucester County,-31.952380952380967
50,Goochland County,-46.428571428571445
51,Grayson County,-31.428571428571445
52,Greene County,-44.000000000000014
53,Greensville County,-34.928571428571445
54,Halifax County,-24.857142857142872
55,Hampton,-19.742857142857158
56,Hanover County,-32.107142857142875
57,Harrisonburg,-36.89285714285716
58,Henrico County,-39.72142857142859
59,Henry County,-23.714285714285726
60,Hopewell,-23.809523809523824
61,Isle of Wight County,-24.452380952380967
62,James City County,-46.16666666666668
63,King George County,-40.09523809523811
64,King William County,-39.2857142857143
65,King and Queen County,-36.000000000000014
66,Lancaster County,-31.857142857142872
67,Lee County,-34.2857142857143
68,Lexington,-44.500000000000014
69,Loudoun County,-49.91428571428573
70,Louisa County,-27.857142857142872
71,Lunenburg County,-34.428571428571445
72,Lynchburg,-30.39285714285716
73,Madison County,-39.57142857142859
74,Manassas,-35.89285714285716
75,Manassas Park,-47.14285714285716
76,Martinsville,-37.500000000000014
77,Mathews County,-36.2857142857143
78,Mecklenburg County,-27.535714285714302
79,Middlesex County,-33.857142857142875
80,Montgomery County,-41.04761904761906
81,Nelson County,-45.000000000000014
82,New Kent County,-35.64285714285716
83,Newport News,-23.80000000000002
84,Norfolk,-31.028571428571446
85,Northampton County,-33.57142857142859
86,Northumberland County,-30.000000000000018
87,Norton,-32.14285714285716
88,Nottoway County,-29.57142857142859
89,Orange County,-23.85714285714288
90,Page County,-33.42857142857145
91,Patrick County,-36.57142857142859
92,Petersburg,-22.26190476190478
93,Pittsylvania County,-21.57142857142859
94,Poquoson,-52.000000000000014
95,Portsmouth,-33.7857142857143
96,Powhatan County,-46.428571428571445
97,Prince Edward County,-39.14285714285717
98,Prince George County,-31.57142857142859
99,Prince William County,-35.71428571428574
100,Pulaski County,-30.071428571428594
101,Radford,-45.857142857142875
102,Rappahannock County,-33.42857142857145
103,Richmond,-24.321428571428594
104,Richmond County,-31.000000000000025
105,Roanoke,-32.88571428571431
106,Roanoke County,-32.095238095238116
107,Rockbridge County,-31.904761904761923
108,Rockingham County,-26.10714285714288
109,Russell County,-34.00000000000002
110,Salem,-39.35714285714288
111,Scott County,-39.000000000000014
112,Shenandoah County,-28.285714285714306
113,Smyth County,-28.85714285714288
114,Southampton County,-31.285714285714306
115,Spotsylvania County,-36.095238095238116
116,Stafford County,-31.48809523809526
117,Staunton,-34.64285714285716
118,Suffolk,-24.785714285714306
119,Surry County,-40.2857142857143
120,Sussex County,-41.00000000000002
121,Tazewell County,-21.85714285714288
122,Virginia Beach,-26.94285714285716
123,Warren County,-34.857142857142875
124,Washington County,-30.185714285714305
125,Waynesboro,-33.00000000000002
126,Westmoreland County,-38.857142857142875
127,Williamsburg,-59.928571428571445
128,Winchester,-37.76190476190477
129,Wise County,-36.666666666666686
130,Wythe County,-28.89285714285716
131,York County,-33.250000000000014
